spec,actualPrice,s26Price,wpPrice,deltaAbs,deltaPct,expert,tier,band,reason,flags
"4.02ct heart_standard D/VVS2  CVD",954.35,954.3529411711764,1280.3529551999993,326,34.16,"S30","dense","medium","null","sparse;largeDelta"
"2.08ct flower_modified D/VVS1  CVD",818.65,505.7052999378824,824.8078592,319.1,63.1,"S30","dense","high","null","largeDelta"
"8.01ct oval_standard F/VVS2  CVD",1374.71,1054.1051339167059,1371.4491055679998,317.34,30.11,"S30","dense","high","null","highCarat;largeDelta"
"2.11ct flower_modified D/VVS1  CVD",818.65,512.9991263792941,829.9615791999998,316.96,61.79,"S30","dense","high","null","largeDelta"
"2.09ct flower_modified D/VVS1  CVD",873.18,508.136575418353,824.5792577000001,316.44,62.28,"S30","dense","high","null","largeDelta"
"8.21ct cushion_elongated E/VVS2 - CVD",1429.41,1391.5305078421177,1699.119553553408,307.59,22.1,"S28","medium","floor","s33a_weak_anchor_high_carat_n6","highCarat;weakAnchor;s28Fallback;largeDelta"
"2.09ct flower_modified E/VVS2  CVD",727.76,257.5422740297647,556.6852530192687,299.14,116.15,"S33A","medium","low","s33a_weak_anchor_n4","weakAnchor;largeDelta"
"2.06ct flower_modified E/VVS2  CVD",545.82,253.8454949767059,548.5359170838608,294.69,116.09,"S33A","medium","low","s33a_weak_anchor_n4","weakAnchor;largeDelta"
"5ct pear_standard E/VS1 - CVD",678.51,965.8816249411766,677.5999999999998,-288.28,-29.85,"S30","dense","high","null","highCarat;largeDelta"
"5ct pear_standard E/VS1 - CVD",678.51,965.8816249411766,677.5999999999998,-288.28,-29.85,"S30","dense","high","null","highCarat;largeDelta"
"5ct pear_standard E/VS1 - CVD",678.18,965.8816249411766,677.5999999999998,-288.28,-29.85,"S30","dense","high","null","highCarat;largeDelta"
"5.01ct pear_standard E/VS1 - CVD",678.51,967.813388191059,680.5837385259,-287.23,-29.68,"S30","dense","high","null","highCarat;largeDelta"
"5.01ct pear_standard E/VS1 - CVD",678.18,967.813388191059,680.5837385259,-287.23,-29.68,"S30","dense","high","null","highCarat;largeDelta"
"5.02ct pear_standard F/VS1 - CVD",650.14,933.5158564142353,651.9459590591998,-281.57,-30.16,"S30","dense","high","null","highCarat;largeDelta"
"5.02ct pear_standard F/VS1 - CVD",650.14,933.5158564142353,651.9459590591998,-281.57,-30.16,"S30","dense","high","null","highCarat;largeDelta"
"7.05ct princess_standard E/VVS2 - CVD",1498.24,1245.300618977647,1520.618448,275.32,22.11,"S30","dense","high","null","highCarat;princess;largeDelta"
"6.06ct emerald_standard D/VVS2  CVD",1437.18,1175.6547398092941,1448.3340571742208,272.68,23.19,"S30","dense","high","null","highCarat;largeDelta"
"7.05ct round_standard E/VVS2 ID CVD",1121.47,896.1835177676471,1165.194108,269.01,30.02,"S30","dense","high","null","highCarat;largeDelta"
"7.02ct round_standard E/VVS2 EX CVD",1157.29,890.336357200588,1159.3307202048,268.99,30.21,"S30","dense","high","null","highCarat;largeDelta"
"7.06ct round_standard E/VVS2 ID CVD",1121.47,897.4547000623529,1165.4254085888,267.97,29.86,"S30","dense","high","null","highCarat;largeDelta"
"5.09ct pear_standard E/VVS2 - CVD",725.44,978.392466328,710.5916602816001,-267.8,-27.37,"S30","dense","high","null","highCarat;largeDelta"
"5.08ct pear_standard E/VVS2 - CVD",725.29,976.470280736,711.2976107776002,-265.17,-27.16,"S30","dense","high","null","highCarat;largeDelta"
"5.09ct princess_standard E/VS1  CVD",680.65,978.7512668054707,715.7073399423999,-263.04,-26.88,"S30","dense","high","null","highCarat;princess;largeDelta"
"7.09ct round_standard E/VVS2 ID CVD",1157.29,901.2682469464706,1162.6859599808001,261.42,29.01,"S30","dense","high","null","highCarat;largeDelta"
"5.1ct princess_standard E/VS1 - CVD",681.05,980.67415731,720.8703573333331,-259.8,-26.49,"S30","dense","high","null","highCarat;princess;largeDelta"
"5.06ct pear_standard E/VVS2  CVD",702.35,972.6259095519998,712.8994782976001,-259.73,-26.7,"S30","dense","high","null","highCarat;largeDelta"
"6.03ct asscher_standard E/VVS2  CVD",1455.35,1183.3935533751178,1441.7732114721002,258.38,21.83,"S30","dense","high","null","highCarat;largeDelta"
"6.04ct asscher_standard E/VVS2  CVD",1046.12,1185.3560634138823,1443.3422352896,257.99,21.76,"S30","dense","high","null","highCarat;largeDelta"
"7.02ct round_standard E/VS1 ID CVD",1154.98,889.2770823529411,1147.0320121103998,257.75,28.98,"S30","dense","high","null","highCarat;largeDelta"
"5.05ct pear_standard E/VVS2  CVD",724.76,970.7037239599998,713.6979160000002,-257.01,-26.48,"S30","dense","high","null","highCarat;largeDelta"
"7.01ct round_standard E/VS1 ID CVD",1154.98,888.010305882353,1142.0371095519,254.03,28.61,"S30","dense","high","null","highCarat;largeDelta"
"8.08ct radiant_modified F/VVS2  CVD",1397.29,1139.583140354353,1391.9947806208,252.41,22.15,"S30","dense","high","null","highCarat;largeDelta"
"5.02ct pear_standard E/VVS2 - CVD",725.44,964.9371671839999,715.5064055296001,-249.43,-25.85,"S30","dense","high","null","highCarat;largeDelta"
"6.15ct asscher_standard E/VVS2  CVD",1046.12,1206.9436738402942,1451.9414075625,245,20.3,"S30","dense","high","null","highCarat;largeDelta"
"7.18ct round_standard E/VVS2 ID CVD",1157.29,912.7088875988236,1153.2599356928001,240.55,26.36,"S30","dense","high","null","highCarat;largeDelta"
"5.27ct pear_standard E/VS1 - CVD",678.18,1018.039232688,792.7380529018998,-225.3,-22.13,"S30","dense","high","null","highCarat;largeDelta"
"1.56ct flower_modified D/VVS2 - CVD",363.88,179.66563467105885,400.3779936,220.71,122.85,"S30","dense","medium","null","sparse;largeDelta"
"6.08ct oval_standard E/VVS2  CVD",997.94,807.3616773534118,1009.7991716864,202.44,25.07,"S30","dense","high","null","highCarat;largeDelta"
"6.09ct oval_standard E/VVS2  CVD",997.94,808.6895748490588,1010.4109943424,201.72,24.94,"S30","dense","high","null","highCarat;largeDelta"
"5.06ct princess_standard E/VVS2 - CVD",681.42,893.7902314931764,692.7193455863999,-201.07,-22.5,"S30","dense","high","null","highCarat;princess;largeDelta"
"5.03ct oval_standard E/VS1  CVD",643.76,854.8747791758235,658.2728483062001,-196.6,-23,"S30","dense","high","null","highCarat;largeDelta"
"5.03ct oval_standard E/VS1  CVD",631.76,854.8747791758235,658.2728483062001,-196.6,-23,"S30","dense","high","null","highCarat;largeDelta"
"6.01ct oval_standard E/VVS2 - CVD",996.88,798.0663948838824,992.1881344383997,194.12,24.32,"S30","dense","high","null","highCarat;largeDelta"
"5.08ct oval_standard E/VS1 - CVD",663.58,863.3725404002353,669.7511534592002,-193.62,-22.43,"S30","dense","high","null","highCarat;largeDelta"
"5.09ct oval_standard E/VS1 - CVD",663.58,865.0720926451177,672.1582732521999,-192.91,-22.3,"S30","dense","high","null","highCarat;largeDelta"
"5.1ct oval_standard E/VS1 - CVD",663.58,866.7716448899998,674.6013269999999,-192.17,-22.17,"S30","dense","high","null","highCarat;largeDelta"
"6ct oval_standard E/VVS2 - CVD",996.86,796.7384973882354,987,190.26,23.88,"S30","dense","high","null","highCarat;largeDelta"
"1.56ct heart_standard E/VVS2 传统切 CVD",400.24,396.4594894581177,210.52777050763808,-185.93,-46.9,"S33A","medium","medium","null","largeDelta"
"3.6ct pear_standard E/VVS2  CVD",564,456.98823529411766,640.6357500000001,183.65,40.19,"S30","dense","high","null","largeDelta"
"5.14ct princess_standard E/VVS2 - CVD",680.12,907.9213023468234,724.3430684343999,-183.58,-20.22,"S30","dense","high","null","highCarat;princess;largeDelta"
"3.8ct heart_standard E/VVS2 - CVD",636.67,422.7527127305882,605.7444179687501,182.99,43.29,"S30","dense","high","null","largeDelta"
"4.13ct heart_standard D/VS1  CVD",795.35,795.3529411680589,615.9199246364499,-179.43,-22.56,"S30","dense","medium","null","sparse;largeDelta"
"3.77ct heart_standard E/VS1 - CVD",582.09,407.8143876628824,580.2801766577504,172.47,42.29,"S30","dense","high","null","largeDelta"
"3.05ct round_standard E/VS1 EX CVD",509.47,503.308985582647,331.6875,-171.62,-34.1,"S30","dense","high","null","largeDelta"
"3.05ct round_standard E/VS1 EX CVD",509.47,503.308985582647,331.6875,-171.62,-34.1,"S30","dense","high","null","largeDelta"
"3.01ct round_standard E/VS1 EX CVD",327.53,496.70821200123527,327.3375,-169.37,-34.1,"S30","dense","high","null","largeDelta"
"3.22ct square_cushion_modified E/VS1 - CVD",585.88,585.8823529481176,425.2799233220004,-160.6,-27.41,"S30","dense","medium","null","largeDelta"
"2.06ct flower_modified E/VVS1  CVD",600.35,433.98481682352946,585.8426359434324,151.86,34.99,"S33A","medium","low","s33a_weak_anchor_n7","weakAnchor;largeDelta"
"3.52ct round_standard E/VVS2 ID CVD",526.76,384.6357615811765,530.4028686,145.77,37.9,"S30","dense","high","null","largeDelta"
"2.06ct round_standard D/VVS2 ID HPHT",409.41,415.4621848774118,283.4737984,-131.99,-31.77,"S30","dense","high","null","largeDelta"
"3.59ct emerald_standard D/VS1 - CVD",545.72,454.28031449952937,585.5455820663999,131.27,28.9,"S30","dense","high","null","largeDelta"
"2.05ct round_standard D/VVS2 ID HPHT",282.35,413.4453781547059,282.88334375,-130.56,-31.58,"S30","dense","high","null","largeDelta"
"2.05ct round_standard D/VVS2 ID HPHT",282.35,413.4453781547059,282.88334375,-130.56,-31.58,"S30","dense","high","null","largeDelta"
"2.04ct round_standard D/VVS2 ID HPHT",409.41,411.42857143200007,282.36325439999996,-129.07,-31.37,"S30","dense","high","null","largeDelta"
"2.03ct round_standard D/VVS2 ID HPHT",409.41,409.4117647092941,281.70818514999996,-127.7,-31.19,"S30","dense","high","null","largeDelta"
"2.03ct round_standard D/VVS2 ID HPHT",279.71,409.4117647092941,281.70818514999996,-127.7,-31.19,"S30","dense","high","null","largeDelta"
"3.57ct marquise_standard E/VS1  CVD",600,470.171287131,597.3478788059999,127.18,27.05,"S30","dense","high","null","largeDelta"
"3.03ct asscher_standard E/VVS2 - CVD",455.65,442.05960485911754,564.6973124999998,122.64,27.74,"S30","dense","high","null","largeDelta"
"2.33ct pear_standard D/VS1 传统切 CVD",434.82,434.82352940611764,319.50120704062505,-115.32,-26.52,"S30","dense","high","null","largeDelta"
"3ct asscher_standard D/VVS2  CVD",485.65,485.6470588235294,598.4099999999999,112.76,23.22,"S30","dense","high","null","largeDelta"
"3.02ct asscher_standard D/VVS2 - CVD",485.65,488.88470588235293,601.3694592,112.48,23.01,"S30","dense","high","null","largeDelta"
"1.03ct heart_standard D/VS1 传统切 HPHT",245.65,248.0553633242941,139.66255885242285,-108.39,-43.7,"S33A","dense","medium","null","largeDelta"
"3.53ct oval_standard E/VVS2 - CVD",563.17,448.5176470588235,554.8251907499999,106.31,23.7,"S30","dense","high","null","largeDelta"
"3.53ct oval_standard E/VVS2  CVD",546.18,448.5176470588235,554.8251907499999,106.31,23.7,"S30","dense","high","null","largeDelta"
"3.52ct oval_standard E/VVS2  CVD",546.18,447.2470588235294,553.1018240000001,105.85,23.67,"S30","dense","high","null","largeDelta"
"1ct oval_standard D/VVS1 传统切 HPHT",232.94,232.94117647058823,131.95,-100.99,-43.35,"S30","dense","high","null","largeDelta"
"1ct oval_standard D/VVS1 传统切 HPHT",232.94,232.94117647058823,131.95,-100.99,-43.35,"S30","dense","high","null","largeDelta"
"1ct oval_standard D/VVS1 传统切 HPHT",232.94,232.94117647058823,131.95,-100.99,-43.35,"S30","dense","high","null","largeDelta"
"2.65ct marquise_standard E/VVS2 - CVD",418.36,330.8428446002941,430.42459375,99.58,30.1,"S30","dense","high","null","largeDelta"
"2.06ct asscher_standard D/VS1  CVD",391.06,386.4254251407059,289.56381760000005,-96.86,-25.07,"S30","dense","medium","null","largeDelta"
"3.52ct round_standard E/VS1 ID CVD",476.12,383.0244283670588,478.688397,95.66,24.98,"S30","dense","high","null","largeDelta"
"3.52ct round_standard E/VS1 ID CVD",476.12,383.0244283670588,478.688397,95.66,24.98,"S30","dense","high","null","largeDelta"
"2.69ct marquise_standard E/VVS2 - CVD",418.36,335.83669885841175,430.44410255000014,94.61,28.17,"S30","dense","high","null","largeDelta"
"3.5ct round_standard E/VS1 ID CVD",491.14,380.84815320588234,474.7749999999999,93.93,24.66,"S30","dense","high","null","largeDelta"
"3.5ct round_standard E/VS1 ID CVD",491.14,380.84815320588234,474.7749999999999,93.93,24.66,"S30","dense","high","null","largeDelta"
"3.5ct round_standard E/VS1 ID CVD",476.12,380.84815320588234,474.7749999999999,93.93,24.66,"S30","dense","high","null","largeDelta"
"2.01ct asscher_standard D/VS1  CVD",400.24,377.0461672489412,284.7497856,-92.3,-24.48,"S30","dense","medium","null","largeDelta"
"2.51ct square_cushion_modified D/VVS2  CVD",446.12,360.1111764705882,451.83040864999987,91.72,25.47,"S30","dense","high","null","largeDelta"
"2ct asscher_standard D/VS1 - CVD",287.74,375.17031567058825,283.48,-91.69,-24.44,"S30","dense","medium","null","largeDelta"
"2.03ct asscher_standard D/VVS2  CVD",427.41,393.0845411619411,301.61461890000004,-91.47,-23.27,"S30","dense","medium","null","largeDelta"
"2.63ct emerald_standard F/VVS2  CVD",365.65,290.0735294117647,379.418872365625,89.35,30.8,"S30","dense","high","null","largeDelta"
"1.06ct oval_standard D/VVS2 传统切 HPHT",212.47,213.4823529408235,124.5989296,-88.88,-41.64,"S30","dense","high","null","largeDelta"
"1.52ct radiant_modified D/VS1 - CVD",221.29,221.2941176470588,134.4896,-86.8,-39.23,"S30","dense","high","null","largeDelta"
"1.04ct oval_standard D/VVS2 传统切 HPHT",212.47,209.45438401741177,123.00479360000001,-86.45,-41.27,"S30","dense","high","null","largeDelta"
"1.69ct marquise_standard F/VVS2  CVD",303,316.683870971,232.28204879278846,-84.4,-26.65,"S30","dense","medium","null","sparse;largeDelta"
"2.13ct asscher_standard E/VVS2  CVD",394.76,356.29187437729405,272.7412815,-83.55,-23.45,"S30","dense","high","null","largeDelta"
"2.06ct asscher_standard E/VS1  CVD",260.82,260.8235294158823,342.95802879999997,82.13,31.49,"S30","dense","high","null","largeDelta"
"2.52ct square_cushion_modified E/VS1  CVD",384.88,310.409130809647,392.1736896000001,81.76,26.34,"S30","dense","high","null","largeDelta"
"2.89ct round_standard D/VS1 ID CVD",370.59,361.08000000000004,441.51574735,80.44,22.28,"S30","dense","high","null","largeDelta"
